id,name,popularity,duration_ms,explicit,artists,id_artists,release_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
2ENexcMEMsYk0rVJigVD3i,Only Girl (In The World),75,235493,0,['Rihanna'],['5pKCCKE2ajJHZ9KAiaK11H'],1/1/2010,0.789,0.706,11,-4.233,0,0.0429,0.112,1.71E-05,0.0586,0.638,125.911,4
3QwBODjSEzelZyVjxPOHdq,Otra vez (feat. J Balvin),75,209453,0,"['Zion & Lennox', 'J Balvin']","['21451j1KhjAiaYKflxBjr1', '1vyhD5VmyZ7KMfW5gqLgo5']",9/30/2016,0.832,0.772,10,-5.429,1,0.1,0.0559,0.000486,0.44,0.704,96.016,4
4QPEwDdOMhY7rNS05mTyMR,Own It (feat. Ed Sheeran & Burna Boy),75,216707,0,"['Stormzy', 'Burna Boy', 'Ed Sheeran']","['2SrSdSvpminqmStGELCSNd', '3wcj11K77LjEY1PkEazffa', '6eUKZXaKkcviH0Ku9w2n3V']",12/13/2019,0.817,0.781,7,-4.178,0,0.112,0.00838,5.21E-06,0.123,0.359,104,4
5XqCz18k96K8tx6DAYM97i,PA' ROMPERLA,75,194200,1,"['Bad Bunny', 'Don Omar']","['4q3ewBCX7sLwd24euuV69X', '33ScadVnbm2X8kkUqOkC6Z']",5/10/2020,0.772,0.83,7,-5.019,1,0.0599,0.016,0,0.0843,0.697,94.011,4
1YlulsUKDduOmC7WxvXYPW,Painkiller,75,213507,0,['Ruel'],['5xkAtLTf309LAGZTbvULBn'],9/13/2019,0.683,0.42,5,-6.51,1,0.0542,0.0875,0,0.225,0.469,128.621,4
05RgAMGypEvqhNs5hPCbMS,Panama - 2015 Remaster,75,210227,0,['Van Halen'],['2cnMpRsOVqtPMfq7YiFE6K'],1/4/1984,0.526,0.978,8,-5.436,1,0.108,0.00122,4.75E-05,0.0744,0.451,141.167,4
5YEOzOojehCqxGQCcQiyR4,Panda,75,246761,1,['Desiigner'],['7pFeBzX627ff0VnN6bxPR4'],6/26/2016,0.576,0.766,10,-4.943,0,0.449,0.028,1.68E-06,0.366,0.236,144.833,4
4y5bvROuBDPr5fuwXbIBZR,Paper Rings,75,222400,0,['Taylor Swift'],['06HL4z0CvFAxyc27GXpf02'],8/23/2019,0.811,0.719,9,-6.553,1,0.0497,0.0129,1.36E-05,0.0742,0.865,103.979,4
5Q0Nhxo0l2bP3pNjpGJwV1,Party In The U.S.A.,75,202067,0,['Miley Cyrus'],['5YGY8feqx7naU7z4HrwZM6'],1/1/2009,0.652,0.698,10,-4.667,0,0.042,0.00112,0.000115,0.0886,0.47,96.021,4
4P6IttK2PRBjyr3fm0pP7t,Past Life (with Selena Gomez),75,186480,0,"['Trevor Daniel', 'Selena Gomez']","['7uaIm6Pw7xplS8Dy06V6pT', '0C8ZW7ezQVs4URX5aX7Kqx']",6/26/2020,0.612,0.539,3,-5.071,1,0.0488,0.104,0,0.18,0.294,79.948,4
